Date,Time,Temperature,Humidity,Light
4/1/2026,12:05,30.2,65,641
4/1/2026,12:05,29.8,63,640
4/1/2026,12:05,29.8,63,638
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,62,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:05,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,62,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:06,29.8,63,641
4/1/2026,12:07,29.8,63,641
4/1/2026,12:07,29.8,63,641
4/1/2026,12:07,29.8,63,641
4/1/2026,12:07,29.8,63,641
